SampleName,TotalRU,M:C,BIX,HIX,FI,UltraVioletHumic-like,MarineHumic-like,VisibleHumic-like,Tryptophan-like,Tyrosine-like,Phenylalanine-like,Lignin-like,PARAFAC1,PARAFAC2,PARAFAC3,PARAFAC4,PARAFAC5,PARAFAC6
155,23.1965298,1.326705575,0.691143943,0.464653463,1.673900381,0.009864498,0.011475818,0.008649861,0.039160149,0.035385184,0.005207949,0.024733694,0.040567066,0.010828697,0.022303488,0.014187958,0.005027411,0.004598528
156,52.27834801,1.439625408,0.554776479,1.282480375,1.554421971,0.032977214,0.035743527,0.024828352,0.052542576,0.065195875,0.013564349,0.051280035,0.052860016,0.031886323,0.019804841,0.054989217,0.014264446,0.035451658
157,36.38121181,1.16786107,0.73373362,1.359459119,1.602523403,0.018927387,0.021542066,0.018445744,0.0319611,0.025121335,0.011724337,0.032415159,0.031220854,0.020464287,0.013606467,0.030245718,0.013692886,0.01922331
158,28.39669993,1.722689042,0.537852757,0.455621424,1.531489572,0.016280528,0.016248698,0.009432171,0.029886895,0.043216814,0.009897315,0.023597506,0.036555307,0.013739436,0.025277357,0.013217385,0.00568428,0.012075871
159,29.25990015,1.40389425,0.690795686,0.608777842,1.746503391,0.009322626,0.01181083,0.008412906,0.019766868,0.036498202,0,0.025129877,0.023505057,0.010764925,0.018862897,0.016717289,0.005839341,0.008314757
160,54.76274295,1.47619813,1.544554114,1.006058187,1.792885777,0.020357832,0.030159271,0.020430368,0.082636667,0.067879408,0.017960722,0.016821154,0.081534953,0.025253713,0.003821402,0.047027024,0.018619332,0.027118355
161,22.64668913,1.572173159,0.732403097,0.463779808,1.651101171,0.008885126,0.011405643,0.007254699,0.027877805,0.037518536,0.00678774,0.014292309,0.035324349,0.010101096,0.009330897,0.011780229,0.004004692,0.014416851
162,42.19257184,1.237211955,0.699306517,1.009654483,1.560445229,0.014982378,0.016812351,0.013588902,0.033460288,0.036925232,0.003453203,0.026479644,0.033854491,0.01656413,0.015168081,0.025045431,0.00958411,0.017774271
163,38.34839449,1.716683352,0.679109359,0.542854741,1.612741954,0.008077727,0.009997076,0.005823483,0.017609789,0.034759807,0.006803849,0.007829088,0.021582262,0.009060468,0.013292881,0.013342241,0.003695135,0.00866696
164,21.54052438,1.416488735,0.755199455,0.558906597,1.620856012,0.008028984,0.009799735,0.006918329,0.018885072,0.025400605,0.01861016,0.001349502,0.023378121,0.008821995,0.013482085,0.012118129,0.005045619,0.008287266
165,42.74914679,1.359749095,0.782335446,0.756725345,1.663054346,0.016918504,0.020033759,0.014733424,0.042691156,0.038984031,0.005579984,0.032242079,0.038470597,0.018796609,0.026448811,0.023961891,0.010718626,0.02379821
166,29.2667756,1.584038459,0.761386468,0.536584693,1.514306307,0.00758514,0.009360089,0.005909003,0.017108359,0.034027867,0.017031853,0,0.019875735,0.008413861,0.014244905,0.010914018,0.004256981,0.010941258
167,37.31808248,1.573239429,0.683264014,0.765063374,1.719833132,0.010318192,0.013010006,0.008269565,0.020536029,0.034957046,0.001367691,0.014840601,0.020934483,0.011498185,0.018030633,0.01522362,0.006063581,0.012746033
168,48.55552349,1.700475545,0.722842052,0.249665655,1.724283109,0.009099534,0.0115089,0.006768048,0.029776843,0.053339642,0.02798093,0.027068002,0.038557979,0.009453031,0.039115601,0.009838927,0.004065124,0.016928025
169,42.16546153,1.774144124,0.802974976,0.555283517,1.653724825,0.011861386,0.015158835,0.008544308,0.024244122,0.037931684,0.01928231,0.021912836,0.024486212,0.013891539,0.042688601,0.014105138,0.005139611,0.009043372
170,36.54723797,1.441330831,0.682663793,0.649441697,1.688060417,0.011725947,0.014289903,0.009914381,0.031749148,0.038580775,0.000557087,0.021035779,0.035256386,0.013031902,0.01360303,0.017417783,0.006310238,0.010822352
171,36.54415114,1.254982641,0.954361144,0.676545344,1.616006145,0.010150765,0.011420885,0.009100433,0.029816828,0.031527109,0.003251651,0.006462346,0.029887058,0.009224383,0.010877345,0.013110264,0.011962799,0.012825774
172,33.4488037,1.580295011,0.722075232,0.582348499,1.5893266,0.010494755,0.013599136,0.008605441,0.025550801,0.036287574,0.011703249,0.006130581,0.029934523,0.01197045,0.00849544,0.016832824,0.005193833,0.012563575
173,26.38416698,1.429141411,0.658726864,0.642031981,1.699115148,0.009377376,0.011701776,0.008187976,0.018489332,0.023900929,0.008730178,0.007272649,0.022783718,0.010695648,0.018337163,0.011843082,0.005540374,0.004261247
175,27.08037239,1.588861798,0.611407496,0.45590098,1.794412547,0.011607544,0.012478965,0.007854028,0.023783701,0.023233617,0.008766009,0.019565644,0.026860407,0.011501684,0.047040854,0.010924701,0.004930934,0.001373043
176,43.56138703,1.543228885,0.882642843,0.975159418,1.552911484,0.01256809,0.016661581,0.010796572,0.025946562,0.031860308,0.007008174,0.00858303,0.026992053,0.014748431,0.010453775,0.023594774,0.006960633,0.013521026
178,45.16345193,1.313196745,0.681051506,0.968348187,1.616541945,0.019052157,0.021455181,0.016338131,0.030499304,0.032723883,0,0.021389041,0.032678458,0.019620509,0.028251185,0.028481048,0.011455423,0.01211665
179,36.09873692,1.57775982,0.708893761,0.573486812,1.697564544,0.013420971,0.015659561,0.009925187,0.032465343,0.045536066,0.019482162,0,0.034032418,0.014263613,0.039438563,0.015644327,0.006437072,0.001198958
180,26.84174727,1.481638436,0.724812313,0.602969268,1.601756954,0.010691714,0.014232801,0.009606123,0.031910075,0.032797747,0.019446862,0,0.034853017,0.012958782,0.019243206,0.013790526,0.006527005,0.004904727
181,33.83755469,1.608671922,0.841026373,0.547882452,1.70301357,0.008517397,0.011332673,0.007044739,0.029965531,0.03739929,0.021988192,0.00509469,0.030045248,0.009587521,0.013373413,0.011994643,0.00420841,0.011773331
182,22.50337621,1.748735587,1.051363978,0.514192995,1.904069208,0.00972622,0.014468264,0.008273557,0.029426924,0.024753996,0.006537079,0.019262387,0.029585588,0.012063142,0.021177392,0.010982292,0.005386223,0.015600499
183,18.7714789,1.64674528,0.602003853,0.387983317,1.630447427,0.00747781,0.009568568,0.005810594,0.020083307,0.030464971,0.017402415,0.013387538,0.025736662,0.007827224,0.019255523,0.006306524,0.003946422,0
184,34.22896234,1.686166777,0.674991588,0.358411819,1.809671429,0.007990546,0.010881297,0.006453274,0.033079959,0.044779711,0.023854448,0.01444495,0.034725135,0.009281405,0.022684588,0.009242889,0.003451744,0.007951128
185,28.0547487,1.572323549,0.657023398,0.391281325,1.665744505,0.008368242,0.009910973,0.006303393,0.025884305,0.043985567,0.036981668,0.001145401,0.0310678,0.009994689,0.023626286,0.009116836,0.004245593,0
186,22.39727454,1.455048605,0.737276827,0.736678734,1.78407362,0.007923154,0.009649287,0.006631591,0.015661555,0.025485416,0.011000905,0,0.019524753,0.008681385,0.010022643,0.011912902,0.004949176,0.004437651
187,32.07322056,1.505092197,0.725181583,0.54937931,2.061647662,0.007746904,0.009327791,0.006197488,0.017834654,0.035650286,0.016477697,0.003236042,0.020966165,0.008641107,0.025078631,0.010230826,0.004257874,0.001904608
188,32.50510228,1.601432822,0.72556576,0.601306693,1.973329535,0.007013839,0.008154307,0.005091882,0.016508178,0.041861066,0.017410533,0.014282134,0.019520534,0.007442576,0.010486399,0.009290649,0.003798569,0.011223324
200,25.08498106,1.50282462,0.648541144,0.472758771,1.657000342,0.009335241,0.011828299,0.007870711,0.024475625,0.036822628,0.010570444,0.012265648,0.032744114,0.00972534,0.019657238,0.011612124,0.005630779,0.005759269
201,34.34905356,1.596391413,0.768916004,0.474544407,1.598324612,0.010285992,0.012365171,0.007745701,0.037832974,0.043407802,0.018402315,0.020430063,0.037129545,0.011695815,0.02472223,0.015466265,0.004041854,0.020421729
202,35.10159514,1.288831514,0.738240384,0.937139882,1.530796373,0.014047206,0.016005601,0.012418691,0.029598742,0.034982141,0.015136873,0.017290069,0.027646283,0.014921729,0.014063537,0.022762004,0.009254513,0.020479232
