"","Abundance","Site_number","Family"
"233",0.105263157894737,"48","Flavobacteriaceae"
"234",0.104651162790698,"57","Rhodobacteraceae"
"235",0.104651162790698,"57","Flavobacteriaceae"
"236",0.10443864229765,"210","Moraxellaceae"
"237",0.104347826086957,"100","Moraxellaceae"
"238",0.104347826086957,"156","Flavobacteriaceae"
"239",0.104265402843602,"130","Cryomorphaceae"
"240",0.104,"131","Flavobacteriaceae"
"241",0.103225806451613,"144","Flavobacteriaceae"
"242",0.103030303030303,"41","Cryomorphaceae"
"243",0.10188679245283,"OPU 1","Rhodobacteraceae"
"244",0.101818181818182,"OPU 2","Moraxellaceae"
"245",0.100719424460432,"42","Moraxellaceae"
"246",0.0997229916897507,"162","Flavobacteriaceae"
"247",0.0995475113122172,"140","Flavobacteriaceae"
"248",0.0995475113122172,"140","Flavobacteriaceae"
"249",0.0979381443298969,"121","Rhodobacteraceae"
"250",0.0973451327433628,"59","Rhodobacteraceae"
"251",0.0973451327433628,"59","Cryomorphaceae"
"252",0.0973451327433628,"56","Rhodobacteraceae"
"253",0.0973451327433628,"56","Pirellulaceae"
"254",0.097165991902834,"64","Cryomorphaceae"
"255",0.097165991902834,"Cook's 1","Rhodobacteraceae"
"256",0.0965250965250965,"157","Flavobacteriaceae"
"257",0.0963855421686747,"50","Rhodobacteraceae"
"258",0.0962962962962963,"206","Flavobacteriaceae"
"259",0.0950570342205323,"129","Flavobacteriaceae"
"260",0.0943396226415094,"153","Moraxellaceae"
"261",0.0942760942760943,"142","Flavobacteriaceae"
"262",0.094017094017094,"85","Rhodobacteraceae"
"263",0.094017094017094,"85","Vibrionaceae"
"264",0.094017094017094,"168","Rhodobacteraceae"
"265",0.0939597315436242,"151","Flavobacteriaceae"
"266",0.0935251798561151,"42","Flavobacteriaceae"
"267",0.0935251798561151,"137","Rhodobacteraceae"
"268",0.0930232558139535,"57","Flavobacteriaceae"
"269",0.092896174863388,"147","Flavobacteriaceae"
"270",0.0923913043478261,"116","Sphingomonadaceae"
"271",0.0923913043478261,"116","Flavobacteriaceae"
"272",0.092,"131","Flavobacteriaceae"
"273",0.092,"131","Flavobacteriaceae"
"274",0.0919540229885057,"83","Flavobacteriaceae"
"275",0.0919540229885057,"163","Flavobacteriaceae"
"276",0.0913978494623656,"117","Rhodobacteraceae"
"277",0.0913978494623656,"117","Flavobacteriaceae"
"278",0.0912863070539419,"53","Flavobacteriaceae"
"279",0.0909090909090909,"122","Vibrionaceae"
"280",0.0909090909090909,"41","Flavobacteriaceae"
"281",0.0905172413793103,"65","Moraxellaceae"
"282",0.0903790087463557,"173","Rhodobacteraceae"
"283",0.0892857142857143,"43","Moraxellaceae"
"284",0.0892857142857143,"43","Flavobacteriaceae"
"285",0.0891472868217054,"55","Sphingomonadaceae"
"286",0.0889830508474576,"81","Flavobacteriaceae"
"287",0.088,"188","Rhodobacteraceae"
"288",0.088,"188","Flavobacteriaceae"
"289",0.087719298245614,"48","Flavobacteriaceae"
"290",0.0876288659793814,"201","Flavobacteriaceae"
"291",0.0875331564986737,"165","Moraxellaceae"
"292",0.0875,"128","Rhodobacteraceae"
"293",0.0871559633027523,"39","Flavobacteriaceae"
"294",0.0871080139372822,"179","Rhodobacteraceae"
"295",0.0869565217391304,"133","Rhodobacteraceae"
"296",0.0869565217391304,"133","Flavobacteriaceae"
"297",0.0863309352517986,"137","Moraxellaceae"
"298",0.0862068965517241,"79","Rhodobacteraceae"
"299",0.0862068965517241,"79","Vibrionaceae"
"300",0.0861618798955614,"210","Moraxellaceae"
"301",0.085972850678733,"140","Flavobacteriaceae"
"302",0.0858725761772853,"162","Rhodobacteraceae"
"303",0.0855855855855856,"126","Flavobacteriaceae"
"304",0.0854922279792746,"172","Moraxellaceae"
"305",0.0849420849420849,"157","Flavobacteriaceae"
"306",0.0847457627118644,"81","Rhodobacteraceae"
"307",0.0845070422535211,"29","Cryomorphaceae"
"308",0.0843373493975904,"50","Rhodobacteraceae"
"309",0.0836236933797909,"179","Flavobacteriaceae"
"310",0.0818965517241379,"65","Cryomorphaceae"
"311",0.0815789473684211,"205","Rhodobacteraceae"
"312",0.0815217391304348,"116","Flavobacteriaceae"
"313",0.0806451612903226,"144","Flavobacteriaceae"
"314",0.0804597701149425,"83","Rhodobacteraceae"
"315",0.080188679245283,"153","Flavobacteriaceae"
"316",0.079646017699115,"59","Vibrionaceae"
"317",0.0795454545454545,"122","Flavobacteriaceae"
"318",0.0792682926829268,"202","Flavobacteriaceae"
"319",0.0792452830188679,"OPU 1","Flavobacteriaceae"
"320",0.0787878787878788,"41","Rhodobacteraceae"
"321",0.078740157480315,"91","Rhodobacteraceae"
"322",0.078740157480315,"91","Moraxellaceae"
"323",0.0783582089552239,"154","Flavobacteriaceae"
"324",0.0782608695652174,"102","Rhodobacteraceae"
"325",0.0782608695652174,"133","Rhodobacteraceae"
"326",0.0782608695652174,"133","Vibrionaceae"
"327",0.0782608695652174,"100","Bacteriovoracaceae"
"328",0.0779816513761468,"39","Rhodobacteraceae"
"329",0.0775193798449612,"55","Rhodobacteraceae"
"330",0.0769230769230769,"85","Flavobacteriaceae"
"331",0.0769230769230769,"85","Flavobacteriaceae"
"332",0.0769230769230769,"85","Rhodobacteraceae"
"333",0.0769230769230769,"160","Flavobacteriaceae"
"334",0.076271186440678,"81","Cryomorphaceae"
"335",0.0762331838565022,"54","Flavobacteriaceae"
"336",0.0760869565217391,"116","Vibrionaceae"
"337",0.0757575757575758,"139","Flavobacteriaceae"
"338",0.074468085106383,"167","Rhodobacteraceae"
"339",0.0742705570291777,"165","Rhodobacteraceae"
"340",0.0742705570291777,"165","Flavobacteriaceae"
"341",0.0737704918032787,"105","Moraxellaceae"
"342",0.0735294117647059,"209","Rhodobacteraceae"
"343",0.0729483282674772,"87","Moraxellaceae"
"344",0.0729166666666667,"208","Moraxellaceae"
"345",0.0727272727272727,"139","Flavobacteriaceae"
"346",0.0725806451612903,"84","Pseudomonadaceae"
"347",0.0723981900452489,"140","Rhodobacteraceae"
"348",0.0723684210526316,"176","Vibrionaceae"
"349",0.072289156626506,"50","Rhodobacteraceae"
"350",0.072,"188","Flavobacteriaceae"
"351",0.0716417910447761,"138","Flavobacteriaceae"
"352",0.0714285714285714,"89","Flavobacteriaceae"
"353",0.0710659898477157,"93","Cryomorphaceae"
"354",0.0709219858156028,"167","Flavobacteriaceae"
"355",0.0708955223880597,"154","Flavobacteriaceae"
"356",0.0708661417322835,"91","Vibrionaceae"
"357",0.0707964601769911,"59","Rhodobacteraceae"
"358",0.0707964601769911,"56","Flavobacteriaceae"
"359",0.0694980694980695,"157","Rhodobacteraceae"
"360",0.0694444444444444,"208","Rhodobacteraceae"
"361",0.0689655172413793,"178","Rhodobacteraceae"
