"","Observed","Shannon","FaithPD","sample.id","location","site.number","lat","long","sample_type","collection_time","collection_date","Phosphate","Silicate","Nitrite_plus_Nitrate","Ammonia","N.P","Percent_N","Percent_C","Percent_H","C_to_N","evenness"
"51_LW0521",205,4.44000645030854,24.739350318,"51_LW0521","moorea","51",-17.55479,-149.78912,"lagoon_water","9:30","5/22/21",0.22,0.97,0.54,0.9,6.54545454545454,0.77,27.2,3.56,35.35,0.834115747990239
"52_LW0521",201,4.4328201132267,21.37788335,"52_LW0521","moorea","52",-17.5483,-149.78066,"lagoon_water","16:01","5/21/21",0.16,0.92,0.31,0.27,3.625,0.61,27.68,3.72,45.25,0.835859938298182
"53_LW0521",323,5.1063943832604,41.916884953,"53_LW0521","moorea","53",-17.54554,-149.77825,"lagoon_water","15:35","5/21/21",0.21,1.04,0.31,0.7,4.80952380952381,0.6,28,3.72,46.87,0.883818218471851
"54_LW0521",74,3.53923180031058,19.007334969,"54_LW0521","moorea","54",-17.54049,-149.77395,"lagoon_water","14:33","5/21/21",0.21,0.86,0.22,1.11,6.33333333333333,0.46,29.47,4.04,63.94,0.822299784893772
"55_LW0521",64,3.59381491243084,12.578646279,"55_LW0521","moorea","55",-17.54389,-149.77475,"lagoon_water","14:45","5/21/21",0.21,1,0.39,1.55,9.23809523809524,0.65,27.96,3.72,43.09,0.864129825339462
"56_LW0521",66,3.39355746477189,13.969246125,"56_LW0521","moorea","56",-17.54066,-149.77038,"lagoon_water","14:04","5/21/21",0.17,0.71,0.17,0.76,5.47058823529412,0.52,30.64,4.31,58.86,0.8099849924938
"57_LW0521",82,3.71174845239092,18.611918456,"57_LW0521","moorea","57",-17.54171,-149.76657,"lagoon_water","13:34","5/21/21",0.19,0.8,0.23,0.87,5.78947368421053,0.46,30.75,4.35,67.4,0.842292926806086
"59_LW0521",91,3.8069046915038,14.870345975,"59_LW0521","moorea","59",-17.54355,-149.77061,"lagoon_water","16:13","5/21/21",0.14,0.98,0.15,0,1.07142857142857,0.4,29.66,4.12,73.73,0.843942199042989
"62_LW0521",72,3.55267020860514,12.866527144,"62_LW0521","moorea","62",-17.53598,-149.76799,"lagoon_water","12:13","5/21/21",0.1,0.78,0.14,0.49,6.3,0.63,29.02,3.87,46.11,0.830710209714129
"64_LW0521",96,3.95983871654293,15.39544786,"64_LW0521","moorea","64",-17.52993,-149.76623,"lagoon_water","10:48","5/21/21",0.11,0.76,0.17,0.42,5.36363636363636,0.63,28.13,3.82,44.38,0.867558422458891
"65_LW0521",75,3.65961111163519,13.567026544,"65_LW0521","moorea","65",-17.52484,-149.76495,"lagoon_water","9:53","5/21/21",0.14,0.82,0.16,0.12,2,0.64,27.46,3.68,42.7,0.847625057764831
"69_LW0521",40,2.84117727887812,7.998692874,"69_LW0521","moorea","69",-17.51598,-149.76878,"lagoon_water","15:05","5/21/21",0.14,1.05,0.27,0.02,2.07142857142857,0.74,28.31,3.77,38.17,0.770200629817157
"79_LW0521",44,3.16240164573069,8.220510119,"79_LW0521","moorea","79",-17.60411,-149.82103,"lagoon_water","15:12","5/26/21",0.12,0.73,0.14,1.17,10.9166666666667,0.48,31.85,4.55,65.87,0.835687941583479
"81_LW0521",32,2.92640066898937,11.481461465,"81_LW0521","moorea","81",-17.5651,-149.87756,"lagoon_water","9:29","5/20/21",0.18,1,0.35,0.23,3.22222222222222,0.6,26.17,3.43,43.4,0.844380746561023
"83_LW0521",58,3.26913605044178,9.679330744,"83_LW0521","moorea","83",-17.56706,-149.88305,"lagoon_water","10:01","5/20/21",0.12,0.83,0.23,0.09,2.66666666666667,NA,NA,NA,NA,0.80511807257254
"84_LW0521",252,4.67259728153943,29.309632781,"84_LW0521","moorea","84",-17.56044,-149.88653,"lagoon_water","11:05","5/20/21",0.13,0.78,0.28,0.13,3.15384615384615,0.5,29.38,4.12,59.12,0.845041541828033
"85_LW0521",184,4.41854683454514,22.201001775,"85_LW0521","moorea","85",-17.56351,-149.88122,"lagoon_water","10:31","5/20/21",0.15,0.73,0.32,1.32,10.9333333333333,0.58,27.76,3.7,48.01,0.84728691587392
"87_LW0521",112,3.87134472236044,14.502828722,"87_LW0521","moorea","87",-17.55784,-149.87963,"lagoon_water","12:05","5/20/21",0.16,0.99,0.4,1.16,9.75,0.64,27.12,3.54,42.18,0.820461088994149
"89_LW0521",107,3.8135456181809,16.074227013,"89_LW0521","moorea","89",-17.55474,-149.88559,"lagoon_water","13:51","5/20/21",0.15,1.03,0.31,1.18,9.93333333333333,0.66,26.35,3.43,40.01,0.816110701521136
"90_LW0521",109,2.93899731895355,17.049628367,"90_LW0521","moorea","90",-17.55574,-149.88792,"lagoon_water","12:58","5/20/21",0.08,0.84,0.2,0.13,4.125,0.74,28.46,3.7,38.21,0.626471835543575
"91_LW0521",156,4.16865982226716,19.92668181,"91_LW0521","moorea","91",-17.55742,-149.89051,"lagoon_water","13:25","5/20/21",0.15,0.74,0.35,0.56,6.06666666666667,0.67,29.28,3.91,43.46,0.825500730373829
"93_LW0521",242,4.63321325385853,29.111547216,"93_LW0521","moorea","93",-17.54638,-149.89117,"lagoon_water","15:24","5/20/21",0.1,1.28,0.47,0.18,6.5,0.71,26.46,3.44,37.26,0.844100167465859
"cooks-1_LW0521",54,3.04209891283028,9.479943646,"cooks-1_LW0521","moorea","Cook's 1",-17.49718,-149.81805,"lagoon_water","16:40","5/25/21",0.16,1.74,0.09,1.2,8.0625,NA,NA,NA,NA,0.762624988548263
"OPU-1_LW0521",39,2.86460484018903,9.059969197,"OPU-1_LW0521","moorea","OPU 1",-17.50843,-149.85259,"lagoon_water","14:31","5/25/21",0.19,2.11,0.25,1.08,7,0.7,29.24,3.69,41.63,0.781918012275112
"OPU-2_LW0521",47,3.28202554348437,8.100675757,"OPU-2_LW0521","moorea","OPU 2",-17.50654,-149.8576,"lagoon_water","14:20","5/25/21",0.25,2.53,0.87,1.57,9.76,0.79,27.32,3.52,34.72,0.85244148614631
