sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
55	24601	21540	87.56	19374	17174	69.81	16254	66.07
56	27124	23626	87.1	22542	20416	75.27	19479	71.81
57	30718	27514	89.57	26318	23978	78.06	23345	76
58	29288	26222	89.53	25045	22560	77.03	22162	75.67
59	23632	20824	88.12	19598	17733	75.04	17346	73.4
6	41995	38299	91.2	35851	32412	77.18	31846	75.83
60	25113	20713	82.48	19345	16447	65.49	16119	64.19
61	30646	24948	81.41	23514	21128	68.94	20926	68.28
62	19388	17515	90.34	16582	15028	77.51	14690	75.77
63	20694	17849	86.25	17112	15588	75.33	15504	74.92
64	33338	25342	76.02	24061	21296	63.88	21203	63.6
65	29730	26328	88.56	24447	22419	75.41	22236	74.79
66	20900	16637	79.6	15486	14364	68.73	14060	67.27
67	68010	61559	90.51	58797	54023	79.43	51669	75.97
68	23252	21510	92.51	20223	18935	81.43	17996	77.4
69	23679	21884	92.42	20340	18662	78.81	18122	76.53
7	48014	43516	90.63	41564	37990	79.12	35794	74.55
70	22456	20680	92.09	19468	18010	80.2	17422	77.58
71	20213	17833	88.23	16813	15417	76.27	14635	72.4
72	24810	21696	87.45	20026	18496	74.55	18006	72.58
73	30053	27879	92.77	26094	23982	79.8	23265	77.41
74	27402	24717	90.2	23164	21491	78.43	21168	77.25
75	14330	12564	87.68	11718	10614	74.07	10534	73.51
76	24721	22813	92.28	21406	19780	80.01	19400	78.48
77	23003	20483	89.04	19431	17749	77.16	17386	75.58
78	25090	22957	91.5	21907	20250	80.71	20018	79.78
79	21434	19849	92.61	18843	17403	81.19	16982	79.23
8	69479	63456	91.33	61329	56012	80.62	52382	75.39
80	22673	21036	92.78	18923	17313	76.36	17056	75.23
81	49292	46048	93.42	42657	38311	77.72	36039	73.11
82	20730	19267	92.94	17625	15948	76.93	15867	76.54
83	53432	48205	90.22	46310	42507	79.55	41555	77.77
84	62541	56053	89.63	53331	47567	76.06	46168	73.82
85	58371	54890	94.04	51493	46684	79.98	44562	76.34
86	49739	45832	92.14	42978	39498	79.41	38558	77.52
87	59050	53024	89.8	50787	46533	78.8	45188	76.52
89	40021	37288	93.17	35229	32806	81.97	31744	79.32
9	57945	53434	92.22	50401	46295	79.89	45430	78.4
90	45678	41731	91.36	39521	36717	80.38	35805	78.39
91	48519	45160	93.08	43148	39607	81.63	38812	79.99
92	63986	59612	93.16	56524	52316	81.76	49566	77.46
93	52307	48268	92.28	44854	39398	75.32	38642	73.88
94	47142	42353	89.84	39220	34602	73.4	33746	71.58
95	58804	52318	88.97	50068	45322	77.07	44662	75.95
96	36061	33260	92.23	31332	27363	75.88	27316	75.75
97	44545	40705	91.38	38501	35447	79.58	34525	77.51
98	54571	48646	89.14	44823	39541	72.46	38607	70.75
99	51326	47327	92.21	45065	40007	77.95	39820	77.58
cooks-1	46346	41428	89.39	39955	37242	80.36	35567	76.74
lter3b	58604	54480	92.96	50212	45671	77.93	43559	74.33
lter3f	76163	69873	91.74	66796	61287	80.47	59238	77.78
lter6f	76816	70397	91.64	67327	62209	80.98	57845	75.3
nc1	2569	2194	85.4	2185	2181	84.9	2181	84.9
nc2	3620	3092	85.41	3017	2975	82.18	2975	82.18
nc3	402	318	79.1	294	294	73.13	294	73.13
OPU-1	50811	45408	89.37	43744	41216	81.12	40054	78.83
OPU-2	46756	42034	89.9	39848	37517	80.24	37235	79.64
