"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"84c3e7a84725acaed0c8fdfd735684c8","Bacteria",NA,NA,NA,NA,NA,NA
"dc4df4792c7ac4ba6bc1fbb18c5c1e6d","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"0e41eb8aa66adbd3355ca259940592b4","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"f1c26c01a07523dc160842267f9f5eaf","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"f84436baa54e8436bca0f5f285720f43","Bacteria",NA,NA,NA,NA,NA,NA
"fd1dd0b38de1e72ea84e5b0292c937bb","Bacteria",NA,NA,NA,NA,NA,NA
"e7ee34134a76abb7a75440d37b25670d","Bacteria",NA,NA,NA,NA,NA,NA
"44bc51bd5a40067a4d730fe888df62ce","Bacteria",NA,NA,NA,NA,NA,NA
"8339ea38da61aa5eaf1f5ff830def9b0","Bacteria",NA,NA,NA,NA,NA,NA
"e81dfaa2edbfcaa95ff3f37351aff2ef","Bacteria",NA,NA,NA,NA,NA,NA
"8225ad8e1a48a1a9345af2465da4ff8b","Bacteria",NA,NA,NA,NA,NA,NA
"87a449da5c32f6e8f8e67481cc0ae25a","Bacteria",NA,NA,NA,NA,NA,NA
"4dafb4961bce9ae8010260e98314399d","Bacteria",NA,NA,NA,NA,NA,NA
"3814ca9b8daa4f4392891424ba1b299f","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"0dc63f01e80ec58f69336cf164b66f5c","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"b1f92e33c926ec301afb8c2036f94f03","Bacteria",NA,NA,NA,NA,NA,NA
"8d2501b4f511717c9bb53e1f71ea3ae6","Bacteria",NA,NA,NA,NA,NA,NA
"f5438441ba7935f4d0a9ffc769219dc8","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"67d918e1a3cf1756c98d1b4180e8bb8f","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"a9ca6938984caba22806445d532ff0cb","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"259aa8236bf691642a7f338f8ae77d25","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"4e2eaae8adfb2c1ac03ce6784c7822d2","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"7e9908f0e3c8cd5b06c9b397ab205098","Bacteria",NA,NA,NA,NA,NA,NA
"7f4811f326e5256ec94b31ba1c5e77fe","Bacteria",NA,NA,NA,NA,NA,NA
"cfdce72f169205f49aab869947df40af","Bacteria",NA,NA,NA,NA,NA,NA
"8433e1697d825559ab7d1c79fbb99fd7","Bacteria",NA,NA,NA,NA,NA,NA
"31d1610ebcb0f52ba3cbb40523d09b4d","Bacteria",NA,NA,NA,NA,NA,NA
"56cffb143c22fbd3bce634de9fbc37a6","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"6c7d4bbc758732016dae0b688e863df8","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"17684b6c429411ec5fd21e8b654d0333","Bacteria",NA,NA,NA,NA,NA,NA
"1bbaa22a51aa7348a0a7bb81ea3ee0a3","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"fec9cf9648b4ee3263ee9ee80cfbee4d","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"dc9acaae7fdb2f823e6cf7e62e4031a1","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"14c47750a369415ced565ce5145900ae","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"bc00e6c655971aa594224affb7afa491","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"06ea755965a225fb02373f123a152b2a","Bacteria",NA,NA,NA,NA,NA,NA
"d987c70c3b57c127fb4ede5f52ad44b8","Bacteria",NA,NA,NA,NA,NA,NA
