Site_number,Time,Habitat,Lat,Lon,Coral_sampler,Date,Time,CCAR,CSPI,JUVPAR,SALT,SFRE,SOVI,SPSI,CSPI_JUV,CSPI_SUB,CSPI_ADULT,SPSI_JUV,SPSI_SUB,SPSI_ADULT,PARROT_JUV,PARROT_SUB,PARROT_ADULT,PREDATOR,FISH_TOT
171,9,LAG,-17.47497,-149.79012,TCA,44339,0.597222222,0,2.777777778,0.222222222,0.111111111,0,0,1.111111111,0.444444444,0.777777778,1.555555556,0.222222222,0.333333333,0.555555556,0.666666667,1.111111111,0.666666667,0.111111111,4.666666667
172,10,FR,-17.48044,-149.79966,TCA,44341,0.440972222,0.3,0.9,0,0,0,0,0.6,0.1,0.6,0.2,0,0.6,0,0.1,1.2,0.1,0.1,2.7
173,10,BA,-17.47605,-149.79737,TCA,44341,0.427083333,0,1.9,0,0,0,0,2.3,0,0.2,1.7,0,0.1,2.2,0,0.3,0,0.2,4.7
175,10,FR,-17.48082,-149.80484,TCA,44341,0.474305556,0,0.9,0,0,0,0.1,1.3,0.3,0.6,0,1,0.1,0.2,1.3,0.7,1.3,0.1,2.9
176,10,FR,-17.48256,-149.81385,TCA,44341,0.659722222,0,1.8,0,0,0,0.3,0.8,0.9,0.7,0.2,0.6,0.1,0.1,1.5,0.8,1.5,0,3.3
178,10,FR,-17.48729,-149.81839,TCA,44341,0.677083333,0,1.3,0,0,0,0,1.2,0.2,0.5,0.6,0.1,0.8,0.3,0.3,1.3,0.3,0,2.8
179,10,LAG,-17.4812,-149.8176,TCA,44341,0.618055556,0,1.8,0,0,0,0,1.7,0,0.2,1.6,0.2,0,1.5,0.2,0.2,0.2,0,3.6
180,10,BA,-17.47708,-149.82124,KES,44342,0.397222222,0,1.1,0,0,0,0,1.4,0,0.2,0.9,0,0,1.4,0,0.2,0,0,2.9
181,10,BA,-17.47478,-149.81489,TCA,44341,0.569444444,0,0.4,0,0,0,0,0.5,0,0,0.4,0,0,0.5,0,0,0,0.2,1.7
182,10,BA,-17.47831,-149.81354,TCA,44341,0.552083333,0,0.5,0,0,0,0,1.3,0,0,0.5,0,0.3,1,0,0.3,0,0,2.2
